index,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,62,65,68,71,74,77,80,83,86,89,92,95,98,101,104
index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,21:20:59  1.11.2023,21:26:28  1.11.2023,21:31:56  1.11.2023,21:37:00  1.11.2023,21:42:38  1.11.2023,21:47:31  1.11.2023,21:52:05  1.11.2023,21:57:27  1.11.2023,22:03:48  1.11.2023,22:12:28  1.11.2023,22:17:35  1.11.2023,22:23:24  1.11.2023,22:29:09  1.11.2023,22:34:16  1.11.2023,22:39:45  1.11.2023,7:44:37  2.11.2023,7:50:55  2.11.2023,7:55:44  2.11.2023,8:00:35  2.11.2023,8:05:32  2.11.2023,8:10:29  2.11.2023,8:15:40  2.11.2023,8:20:52  2.11.2023,8:25:50  2.11.2023,8:31:03  2.11.2023,8:36:44  2.11.2023,8:41:32  2.11.2023,8:46:27  2.11.2023,8:51:22  2.11.2023,8:55:52  2.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
4821,3838,3668,3529,3758,3668,3838,3010,2881,2881,2196,2291,2141,1078,1098,976,9072,9351,9521,7118,7427,7148,4755,4446,4835,1822,1969,1682,538,528,496
4921,3838,3698,3539,3758,3678,3798,3010,2871,2871,2243,2266,2160,1069,1104,992,9082,9351,9561,7138,7437,7148,4735,4466,4835,1806,1991,1704,535,541,502
5021,3858,3678,3549,3758,3718,3798,2991,2861,2871,2237,2269,2138,1075,1117,1018,9072,9351,9551,7128,7457,7148,4765,4446,4825,1806,1966,1685,532,535,507
5121,3818,3678,3549,3728,3688,3848,2951,2871,2881,2199,2259,2154,1078,1088,986,9112,9421,9551,7118,7447,7178,4745,4436,4825,1841,1956,1717,521,530,512
5221,3838,3678,3529,3718,3668,3808,3000,2861,2881,2212,2282,2167,1075,1110,983,9102,9421,9571,7148,7487,7158,4775,4456,4845,1860,1966,1698,529,544,491
5321,3838,3658,3549,3728,3698,3828,3020,2841,2891,2253,2272,2176,1062,1101,976,9132,9411,9551,7178,7497,7158,4755,4466,4835,1803,1988,1720,531,544,495
5421,3868,3698,3549,3768,3708,3798,3020,2891,2861,2240,2272,2151,1075,1101,995,9112,9441,9571,7138,7487,7168,4765,4466,4865,1806,1979,1701,540,534,507
5521,3818,3649,3549,3738,3698,3798,3000,2901,2911,2215,2333,2164,1072,1094,979,9112,9431,9581,7138,7507,7178,4755,4466,4845,1844,1979,1723,531,539,511
5621,3848,3698,3569,3748,3688,3818,2991,2911,2871,2224,2282,2141,1088,1094,989,9162,9421,9591,7178,7497,7158,4775,4466,4865,1813,1969,1720,532,546,504
5721,3848,3678,3529,3758,3698,3808,3020,2901,2881,2228,2282,2145,1069,1091,1002,9142,9461,9601,7168,7497,7188,4785,4466,4835,1832,1995,1726,550,536,514
5821,3878,3658,3569,3728,3678,3858,2981,2891,2881,2253,2272,2173,1104,1110,995,9142,9461,9601,7168,7527,7178,4775,4486,4875,1800,1991,1701,536,545,505
5921,3868,3688,3579,3768,3708,3828,3010,2891,2881,2231,2279,2170,1088,1094,989,9152,9491,9601,7168,7477,7198,4745,4426,4825,1809,1982,1707,536,546,491
6021,3858,3708,3569,3758,3688,3818,3010,2901,2871,2240,2295,2145,1069,1078,976,9142,9451,9640,7138,7507,7178,4795,4466,4865,1848,1979,1726,535,541,500
6121,3828,3718,3529,3758,3728,3828,3000,2881,2881,2243,2307,2148,1072,1117,1015,9192,9481,9650,7168,7517,7188,4795,4486,4855,1829,1985,1691,530,555,491
6221,3858,3698,3559,3738,3708,3818,3010,2891,2881,2208,2291,2157,1075,1101,989,9192,9491,9670,7198,7507,7208,4765,4486,4875,1819,1998,1707,532,528,502
6321,3838,3678,3569,3768,3708,3818,3030,2861,2921,2250,2304,2170,1050,1091,1005,9212,9481,9640,7178,7527,7198,4785,4476,4885,1809,1995,1730,546,543,500
6421,3838,3678,3559,3728,3678,3828,3060,2871,2881,2243,2301,2151,1091,1101,973,9212,9481,9631,7188,7507,7228,4785,4476,4855,1806,2001,1704,548,558,502
6521,3838,3708,3559,3778,3718,3838,3010,2911,2901,2240,2279,2160,1059,1098,1002,9202,9511,9660,7228,7537,7208,4785,4476,4875,1832,2004,1730,539,551,514
6621,3858,3708,3539,3748,3688,3828,3010,2911,2881,2234,2288,2157,1075,1091,986,9232,9491,9660,7208,7517,7198,4805,4466,4885,1825,1979,1707,517,554,514
6721,3848,3688,3529,3778,3708,3828,2991,2881,2901,2240,2291,2138,1082,1120,995,9252,9531,9680,7188,7517,7238,4785,4496,4875,1813,1988,1736,531,531,503
6821,3838,3718,3579,3788,3718,3858,3020,2901,2891,2240,2275,2170,1098,1091,995,9222,9561,9680,7188,7527,7218,4785,4486,4865,1838,1988,1723,550,554,496
6921,3848,3708,3559,3748,3718,3848,3020,2911,2911,2240,2295,2157,1085,1098,1002,9262,9551,9690,7188,7537,7248,4775,4456,4855,1832,1995,1726,532,550,500
7021,3878,3748,3569,3778,3698,3848,3020,2901,2891,2237,2285,2164,1094,1110,1008,9262,9581,9700,7188,7537,7238,4795,4506,4855,1854,1975,1714,538,553,507
7121,3858,3718,3569,3758,3728,3838,3010,2901,2901,2269,2266,2167,1072,1094,1011,9252,9561,9710,7238,7527,7218,4785,4486,4865,1854,1985,1714,534,530,511
7221,3868,3698,3549,3788,3698,3868,3030,2891,2911,2243,2275,2176,1078,1107,992,9262,9611,9720,7208,7527,7228,4745,4476,4875,1838,2001,1707,559,532,493
7321,3878,3688,3579,3788,3748,3848,3030,2911,2911,2247,2298,2186,1082,1110,1015,9242,9551,9740,7198,7577,7238,4765,4506,4905,1844,1982,1710,551,542,515
7421,3888,3708,3589,3778,3708,3848,3010,2901,2911,2247,2295,2148,1075,1104,1024,9282,9571,9730,7198,7547,7218,4785,4506,4865,1832,1985,1730,533,543,512
7521,3848,3728,3559,3748,3738,3828,3030,2891,2881,2250,2298,2183,1085,1129,1002,9262,9621,9740,7208,7537,7218,4815,4506,4865,1835,2001,1720,543,538,486
7621,3868,3698,3559,3778,3748,3858,3030,2911,2891,2247,2291,2154,1078,1114,976,9302,9621,9760,7218,7557,7208,4815,4476,4895,1841,1966,1707,544,545,504
7721,3858,3688,3589,3778,3708,3878,3030,2921,2901,2263,2298,2154,1082,1123,995,9302,9621,9740,7248,7557,7258,4815,4516,4945,1841,2004,1723,526,550,501
7821,3868,3698,3589,3808,3728,3868,3030,2921,2881,2253,2295,2148,1088,1117,992,9302,9601,9790,7218,7577,7238,4805,4486,4885,1829,2007,1714,530,544,507
7921,3888,3708,3579,3758,3708,3858,3040,2911,2911,2275,2295,2164,1053,1126,1008,9321,9650,9770,7238,7537,7258,4825,4466,4915,1829,2001,1746,530,538,496
8021,3898,3718,3559,3798,3708,3838,3030,2891,2901,2279,2301,2186,1088,1101,992,9302,9660,9760,7228,7587,7278,4835,4496,4905,1797,1995,1710,556,545,522
8121,3878,3708,3619,3778,3748,3858,3080,2921,2911,2269,2295,2173,1094,1078,1015,9331,9640,9790,7278,7577,7218,4785,4486,4895,1851,1985,1749,526,540,494
8221,3848,3728,3599,3758,3748,3858,3040,2901,2901,2247,2291,2173,1085,1120,1008,9341,9631,9780,7248,7567,7248,4815,4506,4915,1860,2010,1726,551,544,489
8321,3868,3698,3559,3788,3718,3878,3030,2921,2911,2247,2301,2170,1088,1101,1018,9311,9680,9790,7278,7547,7248,4825,4476,4905,1832,2010,1726,552,532,507
8421,3878,3718,3569,3778,3718,3868,3030,2901,2941,2272,2326,2160,1104,1082,1011,9391,9680,9790,7228,7567,7288,4805,4486,4915,1835,2001,1726,539,532,516
8521,3868,3708,3579,3798,3728,3848,3020,2901,2921,2243,2291,2157,1085,1110,989,9381,9690,9790,7238,7587,7258,4825,4516,4885,1851,1995,1733,542,531,509
8621,3878,3718,3579,3808,3718,3858,3050,2891,2911,2269,2304,2164,1104,1078,1011,9361,9670,9840,7238,7587,7258,4845,4496,4935,1851,1988,1739,543,541,487
