index,23,26,32,29,35,38,41,44,47,50,53,56,59,62,65
index,,,,,,,,,,,,,,,
time,20:04:23  2.11.2023,20:10:38  2.11.2023,20:23:07  2.11.2023,20:16:22  2.11.2023,20:31:14  2.11.2023,20:37:38  2.11.2023,20:44:21  2.11.2023,20:51:37  2.11.2023,20:58:14  2.11.2023,21:05:45  2.11.2023,21:11:28  2.11.2023,21:17:49  2.11.2023,21:24:44  2.11.2023,21:31:33  2.11.2023,21:38:31  2.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
12021,13069,14174,14499,8923,8853,8693,5543,4925,5692,1532,1710,1452,528,517,485
12121,13069,14142,14499,8933,8853,8693,5513,4905,5712,1538,1698,1449,529,505,522
12221,13101,14174,14532,8953,8803,8683,5553,4905,5682,1586,1694,1433,555,491,496
12321,13069,14207,14499,8933,8843,8693,5553,4915,5692,1548,1675,1423,546,501,507
12421,13101,14174,14499,8943,8823,8643,5533,4935,5692,1525,1723,1423,546,519,500
12521,13101,14142,14532,8893,8823,8673,5523,4915,5712,1564,1723,1414,540,504,494
12621,13069,14174,14532,8903,8813,8663,5553,4895,5722,1570,1714,1439,545,501,493
12721,13069,14207,14532,8913,8803,8673,5553,4935,5722,1586,1701,1410,534,503,497
12821,13134,14174,14532,8903,8853,8663,5543,4915,5672,1541,1710,1433,533,513,491
12921,13101,14174,14532,8953,8853,8693,5553,4895,5712,1541,1707,1417,517,514,500
13021,13166,14207,14499,8943,8823,8703,5533,4895,5682,1557,1704,1430,523,508,496
13121,13101,14207,14532,8923,8843,8663,5543,4915,5722,1551,1707,1439,533,518,506
13221,13101,14239,14564,8913,8823,8673,5543,4955,5682,1548,1733,1442,537,494,499
13321,13101,14174,14532,8903,8813,8703,5503,4905,5702,1541,1730,1423,520,505,506
13421,13101,14174,14532,8923,8803,8703,5543,4915,5712,1554,1714,1433,521,494,506
13521,13101,14174,14532,8943,8783,8673,5563,4915,5682,1541,1714,1414,550,513,494
13621,13134,14207,14532,8913,8833,8703,5523,4905,5662,1554,1707,1426,533,507,491
13721,13134,14207,14532,8913,8813,8683,5543,4925,5692,1544,1726,1445,535,515,519
13821,13134,14239,14564,8903,8833,8683,5543,4915,5692,1564,1694,1433,537,523,498
13921,13134,14207,14564,8943,8813,8673,5523,4925,5692,1567,1707,1439,538,514,486
15321,13199,14304,14629,8913,8803,8683,5533,4895,5692,1564,1698,1442,555,508,493
16321,13231,14337,14662,8873,8823,8624,5513,4885,5672,1567,1698,1433,530,507,508
17321,13264,14369,14694,8903,8803,8673,5543,4905,5643,1551,1720,1442,541,483,491
18321,13297,14434,14792,8913,8813,8663,5523,4915,5672,1586,1714,1452,545,522,513
19321,13394,14499,14890,8933,8793,8673,5563,4905,5682,1544,1698,1439,534,508,508
20321,13492,14564,14922,8903,8853,8703,5513,4885,5682,1567,1736,1442,524,512,509
21321,13524,14662,15085,8923,8853,8733,5533,4875,5662,1570,1723,1433,547,511,508
22321,13622,14759,15150,8933,8923,8753,5553,4885,5643,1573,1717,1455,539,494,498
23321,13719,14825,15312,8953,8863,8773,5533,4885,5652,1573,1726,1458,541,503,519
24321,13849,14955,15442,8963,8933,8783,5523,4915,5672,1576,1717,1436,537,502,519
25321,13947,15117,15605,9022,8992,8823,5553,4935,5702,1586,1717,1433,542,507,505
26321,14077,15215,15767,9062,9032,8883,5573,4925,5712,1589,1733,1452,542,505,494
27321,14207,15410,15930,9102,9082,8913,5563,4975,5712,1564,1733,1426,542,502,492
28321,14304,15540,16092,9142,9122,8982,5593,4955,5732,1564,1726,1455,538,495,498
29321,14499,15702,16255,9212,9212,9012,5603,4985,5742,1567,1714,1430,537,506,520
30321,14629,15897,16450,9252,9252,9052,5573,4994,5752,1570,1726,1436,550,519,491
31321,14759,16060,16613,9321,9292,9122,5623,5024,5762,1592,1755,1461,551,514,508
32321,14922,16222,16775,9411,9341,9182,5643,5034,5812,1596,1723,1468,531,514,510
33321,15052,16385,16970,9461,9431,9252,5643,5044,5812,1570,1723,1439,549,524,493
34321,15182,16580,17133,9501,9481,9302,5672,5074,5872,1560,1733,1445,559,515,518
35321,15377,16678,17263,9591,9561,9351,5702,5104,5872,1580,1752,1449,557,509,512
36321,15442,16905,17425,9660,9650,9431,5752,5114,5902,1586,1742,1439,543,507,495
37321,15605,17035,17555,9710,9710,9471,5762,5144,5912,1564,1739,1468,542,531,500
38321,15767,17165,17751,9790,9780,9531,5772,5194,5972,1599,1752,1458,560,506,512
39321,15865,17328,17848,9830,9830,9621,5832,5224,6021,1599,1730,1445,534,512,505
40321,15995,17490,18011,9910,9870,9650,5842,5224,5991,1592,1746,1487,563,508,504
41321,16125,17620,18108,9960,9979,9750,5872,5244,6041,1605,1736,1468,546,518,494
42321,16222,17751,18238,9999,10009,9810,5882,5294,6061,1605,1746,1484,544,505,517
43321,16288,17848,18368,10109,10099,9870,5942,5304,6091,1599,1752,1445,549,501,503
44321,16450,18043,18498,10169,10139,9900,5982,5333,6091,1621,1752,1468,551,514,502
45321,16515,18141,18563,10269,10219,9989,6031,5333,6141,1605,1774,1509,537,527,520
46321,16645,18238,18693,10279,10299,10049,6011,5383,6181,1615,1768,1465,565,512,497
47321,16743,18368,18791,10368,10348,10129,6061,5403,6221,1643,1787,1474,551,510,511
48321,16775,18466,18888,10408,10398,10159,6061,5433,6271,1611,1784,1477,547,501,510
49321,16905,18563,18986,10458,10448,10219,6111,5423,6291,1640,1781,1487,551,493,507
50321,17003,18661,19083,10548,10518,10239,6131,5493,6301,1615,1797,1484,543,518,506
51321,17068,18726,19148,10578,10568,10318,6181,5513,6370,1624,1803,1503,568,521,497
